Abraham,Abram,,,,,,,,,,,,,,,,,
Ackborne,Agborne,,,,,,,,,,,,,,,,,
Acroyd,Ackrode,Acred,,,,,,,,,,,,,,,,
Adamson,Adamsone,Adameson,Adamsonn,Addamson,Addamsone,Addamsonn,Ademson,Adimson,Adinson,,,,,,,,,
Addison,Addisonn,Adison,Adaston,Adston,Addasonn,Adstone,,,,,,,,,,,,
Addy,Addye,Addey,Adye,Addie,,,,,,,,,,,,,,
Adthie,Adthye,,,,,,,,,,,,,,,,,
Agglande,Agland,Agelande,Aglonbye,Aglebye,,,,,,,,,,,,,,
Agill,Aglle,,,,,,,,,,,,,,,,,
Ainsley,Ainsleye,Aynsley,Aynsleye,Aynslye,Aynslay,Ayneslaye,Ansley,Ansleye,Anslye,Anesley,Awnsley,,,,,,,
Airson,Airsone,Aireson,Ayreson,Ayresonne,Airesen,Airsom,Airsome,Arson,Airser,Heirson,Heireson,,,,,,,
Aislaby,Ayslaby,Ayslabye,Eislybe,,,,,,,,,,,,,,,
Akers,Ackers,Aker,,,,,,,,,,,,,,,,
Alcoke,Aldercok,,,,,,,,,,,,,,,,,
Alder,Auder,,,,,,,,,,,,,,,,,
Alderley,Aderlay,Awderley,,,,,,,,,,,,,,,,
Alderson,Awderson,,,,,,,,,,,,,,,,,
Aldwen,Awdwen,,,,,,,,,,,,,,,,,
Alexander,Alixander,Allexander,,,,,,,,,,,,,,,,
Allye,Ale,Alle,,,,,,,,,,,,,,,,
Allanson,Alanson,Allansonn,Allansonne,Allandson,Alenson,Allenson,Allinson,Allingson,Allinsonne,Allynson,Allonson,Allens,Allensone,,,,,
Allen,Allene,Alen,Allan,Allane,Allon,Alleyne,Allayn,Allanne,Allaine,Alland,,,,,,,,
Allison,Allisone,Alason,Aleson,Aleston,Alison,Allason,Allayson,Alleson,Allisonne,Allissone,Allyson,Alyson,,,,,,
Allmand,Almont,Awmond,Amond,Hawmont,,,,,,,,,,,,,,
Alwin,Alwinn,Alwaine,Alwyne,Alwen,Alwent,Alwente,Alwand,Alwaind,Alwyn,,,,,,,,,
Ambery,Ambry,Ambrye,Amebrye,,,,,,,,,,,,,,,
Amos,Ames,Amas,Amers,,,,,,,,,,,,,,,
Anderson,Andersone,Andersonn,Andersonne,Aunderson,,,,,,,,,,,,,,
Andrew,Andrewe,Andrews,Androwe,Androo,Andro,Andray,,,,,,,,,,,,
Angell,Anngell,Aingell,,,,,,,,,,,,,,,,
Angus,Anngas,Angwes,Agnus,,,,,,,,,,,,,,,
Annison,Anneson,,,,,,,,,,,,,,,,,
Appleby,Applebye,Applebie,Applebee,Applebe,Appelbie,Appelby,Appelbye,Appelby,Appelbey,Aplebie,Aplebey,Apleby,Aplebye,Appylby,Apelbe,Aplbe,Appellby,
Appleton,Appelton,Appeltonn,Apeltonn,,,,,,,,,,,,,,,
Archbald,Archbalde,Archebald,Archebalde,Archbolde,Archbaud,Archebaud,Archbould,Archbawd,Archbawde,Archybalde,Archball,Archband,Archbad,Archeball,Archebauld,,,
Archer,Archere,Archar,Archir,Harcher,,,,,,,,,,,,,,
Arkle,Arkell,Arkill,Arcle,Arckell,Arekell,Argle,Archell,Arkylle,,,,,,,,,,
Arkley,Arckley,Arckly,Arcklye,,,,,,,,,,,,,,,
Armatt,Armente,,,,,,,,,,,,,,,,,
Armorer,Armeror,Armeryr,,,,,,,,,,,,,,,,
Armstrong,Armstronge,Armestrong,Armestronge,Armstrange,Armestrange,Armestong,Armestonge,Ermstrong,,,,,,,,,,
Arnot,Arnott,Arnet,Arnett,,,,,,,,,,,,,,,
Aree,Are,Arre,Arrie,,,,,,,,,,,,,,,
Arras,Arres,Arris,,,,,,,,,,,,,,,,
Arrington,Arington,Aryneton,,,,,,,,,,,,,,,,
Arrow,Arrowe,Arroe,Arrowes,Arrows,,,,,,,,,,,,,,
Arrowsmith,Arrowsmithe,Arrowsmyth,Arrowsmythe,Arowsmith,Arrosmith,Arrosmyth,Arrosmythe,Arosmith,Arrasmith,Arrasmyth,Arrasmythe,Arasmyth,Arasmythe,Arawsmyth,Arroldsmith,Harrasmith,Harosmythe,Harrasmyth
Arthur,Arther,Arthra,Ather,,,,,,,,,,,,,,,
Arundel,Arundell,Arrundell,Arendell,Arrndell,Arindaylle,,,,,,,,,,,,,
Asbrige,Aspige,Aspridge,Aspringe,Asprige,Aspidge,,,,,,,,,,,,,
Ashley,Asheley,,,,,,,,,,,,,,,,,
Askew,Askewe,Askue,Askay,Ascugh,Askell,Ascoughe,,,,,,,,,,,,
Askrige,Ascigge,,,,,,,,,,,,,,,,,
Assendale,Assandale,Asondale,,,,,,,,,,,,,,,,
Asteley,Astley,,,,,,,,,,,,,,,,,
Astrigg,Astrig,,,,,,,,,,,,,,,,,
Atcheson,Atchesone,Atchesonne,Atchison,Atcyson,Acheson,Achison,Atchinson,Atchynson,Achinson,Atchin,Atchyson,,,,,,,
Atkinson,Atkinsonn,Atkinsonne,Atkenson,Atkingson,Atkingsone,Atckinson,Atkynson,Atkyson,Aykeyson,Atkeson,Atkinside,Akinside,Akinson,Akynsyd,Akison,,,
Athy,Athye,Atthy,Athie,Atthie,Aththe,Athee,Athey,Ather,Athae,Athe,,,,,,,,
Atkins,Attkins,Atkin,Atkyn,,,,,,,,,,,,,,,
Attis,Attesse,Atus,Aitas,Aytas,Ettes,Ettis,Ettesse,Ettiss,,,,,,,,,,
Auld,Aulde,Aude,Aud,Awld,Awd,Awde,Awed,Ald,Alde,Allde,,,,,,,,
Audus,Awdis,Awders,,,,,,,,,,,,,,,,
Austin,Austine,Austen,Awston,Awstyne,Aiston,,,,,,,,,,,,,
Audston,Audstone,Awdston,,,,,,,,,,,,,,,,
Aykrigg,Aykrigge,Aikrigg,Aykerick,Aykrege,Aykryge,Acrigg,Akrigg,,,,,,,,,,,
Ayre,Arye,Ayer,Ayere,Ayr,Aire,Aier,Ayrie,Are,,,,,,,,,,
Ayton,Aiton,Aton,,,,,,,,,,,,,,,,
Aspell,Esspell,,,,,,,,,,,,,,,,,
Abbot,,,,,,,,,,,,,,,,,,
Abhoret,,,,,,,,,,,,,,,,,,
Adams,,,,,,,,,,,,,,,,,,
Aden,,,,,,,,,,,,,,,,,,
Adercoope,,,,,,,,,,,,,,,,,,
Agustine,,,,,,,,,,,,,,,,,,
Alcorne,,,,,,,,,,,,,,,,,,
Alderdaye,,,,,,,,,,,,,,,,,,
Allerdice,,,,,,,,,,,,,,,,,,
Allingman,,,,,,,,,,,,,,,,,,
Allotson,,,,,,,,,,,,,,,,,,
Altone,,,,,,,,,,,,,,,,,,
Ambrose,,,,,,,,,,,,,,,,,,
Amler,,,,,,,,,,,,,,,,,,
Amm,,,,,,,,,,,,,,,,,,
Angley,,,,,,,,,,,,,,,,,,
Annes,,,,,,,,,,,,,,,,,,
Annick,,,,,,,,,,,,,,,,,,
Apedaile,,,,,,,,,,,,,,,,,,
Applegarth,,,,,,,,,,,,,,,,,,
Aptydr,,,,,,,,,,,,,,,,,,
Archcastell,,,,,,,,,,,,,,,,,,
Arden,,,,,,,,,,,,,,,,,,
Argerde,,,,,,,,,,,,,,,,,,
Aring,,,,,,,,,,,,,,,,,,
Arkendale,,,,,,,,,,,,,,,,,,
Arnold,,,,,,,,,,,,,,,,,,
Arrand,,,,,,,,,,,,,,,,,,
Arrcan,,,,,,,,,,,,,,,,,,
Asball,,,,,,,,,,,,,,,,,,
Ashner,,,,,,,,,,,,,,,,,,
Ashton,,,,,,,,,,,,,,,,,,
Astone,,,,,,,,,,,,,,,,,,
Ashwell,,,,,,,,,,,,,,,,,,
Asson,,,,,,,,,,,,,,,,,,
Asymne,,,,,,,,,,,,,,,,,,
Athdell,,,,,,,,,,,,,,,,,,
Attforthe,,,,,,,,,,,,,,,,,,
Auber,,,,,,,,,,,,,,,,,,
Augustine,,,,,,,,,,,,,,,,,,
Avintan,,,,,,,,,,,,,,,,,,
Awdwood,,,,,,,,,,,,,,,,,,
Awghert,,,,,,,,,,,,,,,,,,
Awndrey,,,,,,,,,,,,,,,,,,
Edmundson,Admonson,,,,,,,,,,,,,,,,,
Hamilton,Ammylton,,,,,,,,,,,,,,,,,
Harbottle,Arbotle,,,,,,,,,,,,,,,,,
Harkas,Arcus,Arcas,,,,,,,,,,,,,,,,
Harrison,Arrasain,,,,,,,,,,,,,,,,,
Hawdon,Awdon,,,,,,,,,,,,,,,,,
Hercules,Arculus,,,,,,,,,,,,,,,,,
Underwood,Anderwood,,,,,,,,,,,,,,,,,
